node,algorithm,operation,message_size,time_ms,energy_joule
A,AES,encrypt,IMAGE,8192,0.06120000034570694,0.0003060000017285347
B,AES,decrypt,IMAGE,8224,0.05949998740106821,0.00029749993700534105
A,AES,encrypt,IMAGE,8192,0.05949998740106821,0.00029749993700534105
A,AES,encrypt,IMAGE,8192,0.07529999129474163,0.00037649995647370815
A,AES,encrypt,IMAGE,8192,0.08460000390186906,0.0004230000195093453
B,AES,decrypt,IMAGE,8224,0.09480002336204052,0.0004740001168102026
B,AES,decrypt,IMAGE,8224,0.07579999510198832,0.0003789999755099416
B,AES,decrypt,IMAGE,8224,0.08730002446100116,0.0004365001223050058

B,AES,decrypt,IMAGE,8224,0.06160000339150429,0.00030800001695752144
A,AES,encrypt,IMAGE,8192,0.058500037994235754,0.00029250018997117877
B,AES,decrypt,IMAGE,8224,0.06260001100599766,0.0003130000550299883
A,AES,encrypt,IMAGE,8192,0.06360001862049103,0.00031800009310245514
B,AES,decrypt,IMAGE,8224,0.059399986639618874,0.00029699993319809437
A,AES,encrypt,IMAGE,3575,0.05200004670768976,0.0002600002335384488
B,AES,decrypt,IMAGE,8224,0.06410002242773771,0.00032050011213868856
B,AES,decrypt,IMAGE,3600,0.062000006437301636,0.0003100000321865082
B,AES,encrypt,IMAGE,8192,0.13749999925494194,0.0006874999962747097
B,AES,encrypt,IMAGE,8192,0.05819997750222683,0.00029099988751113415
B,AES,encrypt,IMAGE,8192,0.04469999112188816,0.0002234999556094408
A,AES,decrypt,IMAGE,8224,0.13430003309622407,0.0006715001654811203
B,AES,encrypt,IMAGE,8192,0.040700018871575594,0.00020350009435787797
A,AES,decrypt,IMAGE,8224,0.05840003723278642,0.0002920001861639321
B,AES,encrypt,IMAGE,8192,0.04169996827840805,0.00020849984139204025
A,AES,decrypt,IMAGE,8224,0.04640000406652689,0.00023200002033263445
B,AES,encrypt,IMAGE,8192,0.03940000897273421,0.00019700004486367106
A,AES,decrypt,IMAGE,8224,0.03960001049563289,0.00019800005247816443
A,AES,decrypt,IMAGE,8224,0.04469999112188816,0.0002234999556094408
B,AES,encrypt,IMAGE,8192,0.03960001049563289,0.00019800005247816443
A,AES,decrypt,IMAGE,8224,0.04469999112188816,0.0002234999556094408
B,AES,encrypt,IMAGE,8192,0.03809999907389283,0.00019049999536946416
A,AES,decrypt,IMAGE,8224,0.19559997599571943,0.0009779998799785972
B,AES,encrypt,IMAGE,8192,0.036999990697950125,0.00018499995348975062
A,AES,decrypt,IMAGE,8224,0.04799995804205537,0.00023999979021027684
B,AES,encrypt,IMAGE,8192,0.0399000127799809,0.0001995000638999045
B,AES,encrypt,IMAGE,8192,0.037299992982298136,0.00018649996491149068
A,AES,decrypt,IMAGE,8224,0.042899977415800095,0.00021449988707900047
B,AES,encrypt,IMAGE,8192,0.037699996028095484,0.00018849998014047742
A,AES,decrypt,IMAGE,8224,0.0751999905332923,0.00037599995266646147
B,AES,encrypt,IMAGE,8192,0.04160002572461963,0.00020800012862309813
B,AES,encrypt,IMAGE,8192,0.039899954572319984,0.00019949977286159992
A,AES,decrypt,IMAGE,8224,0.05299999611452222,0.0002649999805726111
B,AES,encrypt,IMAGE,8192,0.03819999983534217,0.00019099999917671084
A,AES,decrypt,IMAGE,8224,0.044899992644786835,0.00022449996322393417
B,AES,encrypt,IMAGE,8192,0.04299997817724943,0.00021499989088624716
A,AES,decrypt,IMAGE,8224,0.0439999857917428,0.000219999928958714
B,AES,encrypt,IMAGE,8192,0.04020001506432891,0.00020100007532164454
A,AES,decrypt,IMAGE,8224,0.04099996294826269,0.00020499981474131346
B,AES,encrypt,IMAGE,8192,0.03950000973418355,0.00019750004867091775
A,AES,decrypt,IMAGE,8224,0.03809999907389283,0.00019049999536946416
B,AES,encrypt,IMAGE,8192,0.0363999861292541,0.0001819999306462705
A,AES,decrypt,IMAGE,8224,0.04190002800896764,0.0002095001400448382
B,AES,encrypt,IMAGE,8192,0.041300023440271616,0.00020650011720135808
A,AES,decrypt,IMAGE,8224,0.04060001811012626,0.00020300009055063128
B,AES,encrypt,IMAGE,8192,0.038300000596791506,0.00019150000298395753
A,AES,decrypt,IMAGE,8224,0.03950000973418355,0.00019750004867091775
B,AES,encrypt,IMAGE,8192,0.03960001049563289,0.00019800005247816443
A,AES,decrypt,IMAGE,8224,0.03890000516548753,0.00019450002582743764
A,AES,decrypt,IMAGE,8224,0.04429998807609081,0.00022149994038045406
B,AES,encrypt,IMAGE,8192,0.038300000596791506,0.00019150000298395753
A,AES,decrypt,IMAGE,8224,0.0798000255599618,0.000399000127799809
B,AES,encrypt,IMAGE,8192,0.056500022765249014,0.00028250011382624507
A,AES,decrypt,IMAGE,8224,0.13470003614202142,0.0006735001807101071
B,AES,encrypt,IMAGE,8192,0.08399999933317304,0.0004199999966658652
B,AES,encrypt,IMAGE,8192,0.08150003850460052,0.0004075001925230026
A,AES,decrypt,IMAGE,8224,0.12909999350085855,0.0006454999675042927
B,AES,encrypt,IMAGE,8192,0.08449994493275881,0.00042249972466379404
A,AES,decrypt,IMAGE,8224,0.1574999769218266,0.000787499884609133
B,AES,encrypt,IMAGE,8192,0.06900000153109431,0.00034500000765547156
A,AES,decrypt,IMAGE,8224,0.10170001769438386,0.0005085000884719193
B,AES,encrypt,IMAGE,8192,0.07130001904442906,0.0003565000952221453
A,AES,decrypt,IMAGE,8224,0.07360003655776381,0.0003680001827888191
